timestamp,open,high,low,close,volume,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,atr,stoch_k,stoch_d,sma_20,sma_50,ema_12,ema_26,hour,day_of_week,day_of_month,month,quarter,is_weekend,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos
2024-11-28 18:00:00,1.4662,1.481,1.4661,1.4765,2489980.34,51.13314447592064,0.004428392798236924,0.006126354676877381,-0.0016979618786404568,1.4867091419760132,1.4651299999999998,1.4435508580239864,0.023964285714285754,74.55716586151365,62.42619431025228,1.4651299999999998,1.440006,1.4639021690415102,1.4594737762432732,18,3,28,11,4,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2024-11-28 19:00:00,1.4765,1.48,1.47,1.4777,2261765.64,50.28818443804031,0.0052010453739734785,0.005941292816296601,-0.0007402474423231229,1.487752804787683,1.46553,1.443307195212317,0.02332857142857146,76.48953301127224,69.67257112184652,1.46553,1.441968,1.466024912265893,1.4608238668919196,19,3,28,11,4,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2024-11-28 20:00:00,1.4777,1.4791,1.4647,1.4745,2377071.38,46.67651403249626,0.005491858128479965,0.005851405878733275,-0.00035954775025331,1.4886306504765645,1.466075,1.4435193495234355,0.022750000000000048,76.64359861591687,75.89676582956758,1.466075,1.4445500000000002,1.4673287719172943,1.4618369137888143,20,3,28,11,4,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2024-11-28 21:00:00,1.4745,1.4907,1.4744,1.489,3796511.91,59.81524249422635,0.006813812758039273,0.006043887254594475,0.0007699255034447974,1.4912571706072069,1.466765,1.4422728293927933,0.021742857142857192,97.1900826446284,83.44107142393919,1.466765,1.4467440000000003,1.4706628070069414,1.4638489942489021,21,3,28,11,4,0,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2024-11-28 22:00:00,1.489,1.5091,1.4823,1.5082,4605985.61,64.22206991089789,0.009303505840935644,0.00669581097186271,0.002607694869072934,1.4996074797756413,1.4689400000000001,1.438272520224359,0.022142857142857193,98.85931558935346,90.89766561663292,1.4689400000000001,1.44878,1.4764377597751044,1.4671342539341687,22,3,28,11,4,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2024-11-28 23:00:00,1.5082,1.5467,1.5034,1.5419,15417343.28,78.6419753086419,0.01383641630940513,0.008123932039371194,0.0057124842700339365,1.5174666786611357,1.4728249999999998,1.428183321338864,0.023607142857142906,95.87982832618033,97.30974218672073,1.4728249999999998,1.4516300000000002,1.4865088736558576,1.4726724573464525,23,3,28,11,4,0,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2024-11-29 00:00:00,1.5419,1.5755,1.5257,1.5327,14934232.02,74.31085043988261,0.01649625879826977,0.00979839739115091,0.006697861407118859,1.5278568043644678,1.4757950000000002,1.4237331956355326,0.025728571428571465,70.54370268410189,88.4276155332119,1.4757950000000002,1.454486,1.4936152007857257,1.477118941987456,0,4,29,11,4,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384
2024-11-29 01:00:00,1.5327,1.5575,1.5234,1.557,6688113.34,75.62604340567603,0.020330650961359886,0.011904848105192706,0.00842580285616718,1.543289377478689,1.4798,1.416310622521311,0.026157142857142896,87.26772195457677,84.56375098828634,1.4798,1.457656,1.5033667083571525,1.4830360573957926,1,4,29,11,4,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384
2024-11-29 02:00:00,1.557,1.5791,1.5542,1.567,5615223.55,76.99208443271766,0.02390083683316746,0.014304045850787659,0.009596790982379802,1.558509792299689,1.4839749999999998,1.4094402077003108,0.026328571428571448,91.87374076561451,83.22838846809772,1.4839749999999998,1.461578,1.5131564455329753,1.4892556086998079,2,4,29,11,4,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384
2024-11-29 03:00:00,1.567,1.577,1.55,1.5523,4808405.21,71.42156862745097,0.025252967224661305,0.016493830125562388,0.008759137099098917,1.5682083192032614,1.4884149999999998,1.4086216807967382,0.026814285714285728,82.00134318334457,87.0476019678453,1.4884149999999998,1.4646879999999998,1.5191785308355945,1.4939255636109332,3,4,29,11,4,0,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384
