timestamp,open,high,low,close,volume,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,atr,stoch_k,stoch_d,sma_20,sma_50,ema_12,ema_26,hour,day_of_week,day_of_month,month,quarter,is_weekend,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos
2024-11-28 18:00:00,3553.36,3583.24,3552.84,3578.66,5088.39542,44.502327170246396,9.996467892317014,23.33861050401918,-13.342142611702165,3662.588920037946,3599.0145,3535.4400799620544,39.25999999999993,43.7827283216472,25.085056655128653,3599.0145,3504.7528,3578.237318824266,3568.240850931949,18,3,28,11,4,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2024-11-28 19:00:00,3578.66,3584.84,3564.42,3575.4,4230.70705,46.88680942954839,9.029649965594217,20.47681839633419,-11.447168430739971,3654.1134708869095,3595.1285000000003,3536.143529113091,38.29214285714277,40.889322801100676,35.33327416348635,3595.1285000000003,3509.7202,3577.8008082359174,3568.771158270323,19,3,28,11,4,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2024-11-28 20:00:00,3575.4,3575.95,3550.01,3556.22,3816.19518,41.874549997882276,6.639241049037992,17.70930292687495,-11.07006187783696,3647.831894352379,3590.8215000000005,3533.811105647622,37.46285714285701,23.866157805981942,36.17940297624327,3590.8215000000005,3515.1956,3574.48068389193,3567.841442842892,20,3,28,11,4,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2024-11-28 21:00:00,3556.22,3578.72,3556.22,3571.6,4091.6863,45.81912973731704,5.917647270550788,15.35097179561012,-9.433324525059332,3640.430748516184,3587.4799999999996,3534.529251483815,37.13285714285702,37.51664151948163,34.09070737552141,3587.4799999999996,3520.6143999999995,3574.03750175471,3568.119854484159,21,3,28,11,4,0,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2024-11-28 22:00:00,3571.6,3599.36,3567.4,3592.46,3454.69164,42.153714408049645,6.948904027912249,13.670558242070546,-6.721654214158297,3636.6290000733743,3586.0379999999996,3535.446999926625,34.83142857142847,56.030886660158046,39.13789532854054,3586.0379999999996,3525.9782,3576.8717322539856,3569.9228282260733,22,3,28,11,4,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2024-11-28 23:00:00,3592.46,3596.86,3574.7,3578.97,5420.30942,45.52180145188876,6.601553578233052,12.256757309303048,-5.655203731069996,3635.329525982926,3585.032,3534.7344740170743,34.04285714285707,44.057868110410794,45.86846543001682,3585.032,3531.0776,3577.194542676449,3570.592989098216,23,3,28,11,4,0,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2024-11-29 00:00:00,3578.97,3585.2,3551.92,3557.84,7130.75188,40.26995658341571,4.568597487137595,10.719125344869957,-6.150527857732362,3633.5328430691875,3582.7034999999996,3531.8741569308118,33.12357142857133,25.303985089198722,41.797579953255855,3582.7034999999996,3535.7284000000004,3574.2169207262264,3569.6483232390888,0,4,29,11,4,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384
2024-11-29 01:00:00,3557.84,3570.43,3550.28,3565.65,5267.81261,37.70734331569987,3.5467817748867674,9.28465663087332,-5.7378748559865524,3632.807477753848,3581.5240000000003,3530.2405222461525,31.217142857142758,32.23573267063117,33.8658619567469,3581.5240000000003,3540.5464,3572.8989329221913,3569.3521511473045,1,4,29,11,4,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384
2024-11-29 02:00:00,3565.65,3600.0,3564.43,3599.83,6731.23073,45.5268935236004,5.432404430247516,8.51420619074816,-3.0818017605006442,3633.402996547984,3581.785999999999,3530.1690034520143,31.202857142857056,74.91233662735087,44.150684795726924,3581.785999999999,3546.3596,3577.042174011085,3571.6097695808376,2,4,29,11,4,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384
2024-11-29 03:00:00,3599.83,3602.31,3579.03,3583.33,4467.4871,48.839263184456215,5.531597058461557,7.91768436429084,-2.3860873058292826,3632.7109249881178,3581.3299999999995,3529.949075011881,29.92428571428562,68.78104700038193,58.64303876612132,3581.3299999999995,3551.1888,3578.009531855533,3572.4779347970716,3,4,29,11,4,0,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384
